Area_Name,Year,Group_Name,Sub_Group_Name,Cases_Property_Recovered,Cases_Property_Stolen,Value_of_Property_Recovered,Value_of_Property_Stolen,id
Dadra & Nagar Haveli,2009,Burglary - Property,3. Burglary,13,43,1270375,4853240,8
Daman & Diu,2009,Burglary - Property,3. Burglary,7,33,3242500,7972502,9
Delhi,2009,Burglary - Property,3. Burglary,521,1733,30852082,252397901,10
Goa,2009,Burglary - Property,3. Burglary,71,283,7598920,33425540,11
Gujarat,2009,Burglary - Property,3. Burglary,1269,4385,54175506,284188989,12
Haryana,2009,Burglary - Property,3. Burglary,1470,4077,45697180,157613697,13
Himachal Pradesh,2009,Burglary - Property,3. Burglary,136,779,4198707,48552609,14
Jammu & Kashmir,2009,Burglary - Property,3. Burglary,332,1550,14636419,68121065,15
Jharkhand,2009,Burglary - Property,3. Burglary,211,1392,2696624,24899098,16
Karnataka,2009,Burglary - Property,3. Burglary,1865,6629,243264403,463183202,17
Kerala,2009,Burglary - Property,3. Burglary,1186,3301,246436586,429911619,18
Lakshadweep,2009,Burglary - Property,3. Burglary,0,1,0,300000,19
Madhya Pradesh,2009,Burglary - Property,3. Burglary,3123,10661,43077627,243536207,20
Maharashtra,2009,Burglary - Property,3. Burglary,4194,15145,149327777,1039474153,21
Manipur,2009,Burglary - Property,3. Burglary,2,68,120000,6881996,22
Meghalaya,2009,Burglary - Property,3. Burglary,40,135,873070,3509319,23
Mizoram,2009,Burglary - Property,3. Burglary,198,381,20729355,34010675,24
Nagaland,2009,Burglary - Property,3. Burglary,5,82,208400,5215330,25
Odisha,2009,Burglary - Property,3. Burglary,1029,2937,19859140,201568864,26
Puducherry,2009,Burglary - Property,3. Burglary,46,71,3401445,5541789,27
Punjab,2009,Burglary - Property,3. Burglary,1017,2507,66717698,195157605,28
Rajasthan,2009,Burglary - Property,3. Burglary,1654,5022,113439012,257626988,29
Sikkim,2009,Burglary - Property,3. Burglary,23,93,474910,4691401,30
Tamil Nadu,2009,Burglary - Property,3. Burglary,2670,4221,95741975,187905915,31
Tripura,2009,Burglary - Property,3. Burglary,56,230,1981425,6880296,32
Uttar Pradesh,2009,Burglary - Property,3. Burglary,1070,4084,48291629,149793453,33
Uttarakhand,2009,Burglary - Property,3. Burglary,127,276,4102913,14014734,34
West Bengal,2009,Burglary - Property,3. Burglary,70,329,2366488,26868906,35
Andaman & Nicobar Islands,2010,Burglary - Property,3. Burglary,34,80,657512,1955919,1
Andhra Pradesh,2010,Burglary - Property,3. Burglary,4125,8126,167645552,455774882,2
