Area_Name,Year,Group_Name,Sub_Group_Name,Cases_Property_Recovered,Cases_Property_Stolen,Value_of_Property_Recovered,Value_of_Property_Stolen,id
Uttarakhand,2004,Theft - Property,4. Theft,480,1500,8351243,31592072,34
West Bengal,2004,Theft - Property,4. Theft,3543,14465,80910974,391864282,35
Andaman & Nicobar Islands,2005,Theft - Property,4. Theft,51,92,3452224,5431836,1
Andhra Pradesh,2005,Theft - Property,4. Theft,13716,23395,229884092,451664136,2
Arunachal Pradesh,2005,Theft - Property,4. Theft,147,531,6533651,35140607,3
Assam,2005,Theft - Property,4. Theft,1869,6369,30054617,116337451,4
Bihar,2005,Theft - Property,4. Theft,1880,10812,18558711,111326355,5
Chandigarh,2005,Theft - Property,4. Theft,585,1373,16469300,51774386,6
Chhattisgarh,2005,Theft - Property,4. Theft,2117,5600,124114879,197744832,7
Dadra & Nagar Haveli,2005,Theft - Property,4. Theft,37,74,2459055,6300155,8
Daman & Diu,2005,Theft - Property,4. Theft,11,50,308700,3931333,9
Delhi,2005,Theft - Property,4. Theft,6772,17955,67737445,1000141986,10
Goa,2005,Theft - Property,4. Theft,175,490,8290411,29695016,11
Gujarat,2005,Theft - Property,4. Theft,5153,17834,149243011,488494904,12
Haryana,2005,Theft - Property,4. Theft,3591,8650,171302996,300518761,13
Himachal Pradesh,2005,Theft - Property,4. Theft,289,689,20925983,42396464,14
Jammu & Kashmir,2005,Theft - Property,4. Theft,703,1901,33870216,60480028,15
Jharkhand,2005,Theft - Property,4. Theft,1191,5610,21659643,91696971,16
Karnataka,2005,Theft - Property,4. Theft,5299,17008,246432247,464640676,17
Kerala,2005,Theft - Property,4. Theft,2062,5225,61417001,266880665,18
Lakshadweep,2005,Theft - Property,4. Theft,1,7,1000,241248,19
Madhya Pradesh,2005,Theft - Property,4. Theft,7641,20660,167441231,380812973,20
Maharashtra,2005,Theft - Property,4. Theft,15565,46598,547904813,2093911186,21
Manipur,2005,Theft - Property,4. Theft,28,243,510140,12662242,22
Meghalaya,2005,Theft - Property,4. Theft,108,431,3529946,18839860,23
Mizoram,2005,Theft - Property,4. Theft,638,777,2121386,2956013,24
Nagaland,2005,Theft - Property,4. Theft,72,278,2023640,6569716,25
Odisha,2005,Theft - Property,4. Theft,3427,6743,89339721,187605339,26
Puducherry,2005,Theft - Property,4. Theft,328,466,5289218,8420633,27
Punjab,2005,Theft - Property,4. Theft,1691,2924,75526389,191876005,28
Rajasthan,2005,Theft - Property,4. Theft,4548,13361,309399626,541407716,29
Sikkim,2005,Theft - Property,4. Theft,27,77,1116870,2587940,30
Tamil Nadu,2005,Theft - Property,4. Theft,14116,15851,207205736,238850090,31
Tripura,2005,Theft - Property,4. Theft,57,325,2920747,6991098,32
Uttar Pradesh,2005,Theft - Property,4. Theft,5425,17557,205265891,500125253,33
Uttarakhand,2005,Theft - Property,4. Theft,537,1515,12182738,45201377,34
West Bengal,2005,Theft - Property,4. Theft,3192,12124,54647902,253606057,35
Andaman & Nicobar Islands,2006,Theft - Property,4. Theft,51,101,1306602,2262203,1
Andhra Pradesh,2006,Theft - Property,4. Theft,12757,23211,241310512,514737824,2
Arunachal Pradesh,2006,Theft - Property,4. Theft,172,451,5287871,18046894,3
Assam,2006,Theft - Property,4. Theft,2116,7820,146555353,363131214,4
Bihar,2006,Theft - Property,4. Theft,1882,11752,16410074,94703960,5
Chandigarh,2006,Theft - Property,4. Theft,597,1234,13750425,36268500,6
Chhattisgarh,2006,Theft - Property,4. Theft,1943,5262,45965099,189217539,7
Dadra & Nagar Haveli,2006,Theft - Property,4. Theft,35,61,5253240,8533700,8
Daman & Diu,2006,Theft - Property,4. Theft,15,63,933350,6974825,9
Delhi,2006,Theft - Property,4. Theft,6106,17498,74719855,1128669742,10
Goa,2006,Theft - Property,4. Theft,173,486,10426923,36772354,11
Gujarat,2006,Theft - Property,4. Theft,5556,18331,195358310,1233220340,12
Haryana,2006,Theft - Property,4. Theft,4378,10513,224200922,441919663,13
Himachal Pradesh,2006,Theft - Property,4. Theft,295,807,27058836,59987972,14
Jammu & Kashmir,2006,Theft - Property,4. Theft,816,1937,39188485,71426784,15
Jharkhand,2006,Theft - Property,4. Theft,1123,6173,13661775,71462338,16
Karnataka,2006,Theft - Property,4. Theft,4970,14901,189460917,480347009,17
Kerala,2006,Theft - Property,4. Theft,1833,5043,57135205,298306907,18
Lakshadweep,2006,Theft - Property,4. Theft,11,17,101200,348100,19
Madhya Pradesh,2006,Theft - Property,4. Theft,7931,21733,194359963,439259099,20
Maharashtra,2006,Theft - Property,4. Theft,15590,46250,562101861,2112418477,21
Manipur,2006,Theft - Property,4. Theft,17,290,453500,9416334,22
Meghalaya,2006,Theft - Property,4. Theft,109,470,2448500,26091623,23
Mizoram,2006,Theft - Property,4. Theft,596,740,5538026,28001877,24
Nagaland,2006,Theft - Property,4. Theft,136,324,6781299,78948706,25
Odisha,2006,Theft - Property,4. Theft,3619,6559,77632471,222755594,26
Puducherry,2006,Theft - Property,4. Theft,293,560,8367415,12995915,27
Punjab,2006,Theft - Property,4. Theft,1965,3945,90017684,239469827,28
Rajasthan,2006,Theft - Property,4. Theft,4697,16460,335708944,588618315,29
Sikkim,2006,Theft - Property,4. Theft,46,113,2654700,4375644,30
Tamil Nadu,2006,Theft - Property,4. Theft,12704,13651,225958114,249486970,31
Tripura,2006,Theft - Property,4. Theft,24,392,2184188,11037167,32
Uttar Pradesh,2006,Theft - Property,4. Theft,5670,17665,292485787,565738249,33
Uttarakhand,2006,Theft - Property,4. Theft,543,1369,13914105,47167576,34
West Bengal,2006,Theft - Property,4. Theft,2254,12532,61095553,287899747,35
Andaman & Nicobar Islands,2007,Theft - Property,4. Theft,34,112,1439610,4808582,1
Andhra Pradesh,2007,Theft - Property,4. Theft,13265,23856,301731761,514325019,2
Arunachal Pradesh,2007,Theft - Property,4. Theft,228,513,9720166,28418744,3
Assam,2007,Theft - Property,4. Theft,2330,7754,37307228,102848324,4
Bihar,2007,Theft - Property,4. Theft,1700,11795,20584711,120896395,5
Chandigarh,2007,Theft - Property,4. Theft,612,1740,24353940,84828820,6
Chhattisgarh,2007,Theft - Property,4. Theft,1995,5381,97424680,201276448,7
Dadra & Nagar Haveli,2007,Theft - Property,4. Theft,38,87,7178680,11632786,8
Daman & Diu,2007,Theft - Property,4. Theft,8,43,604550,5833910,9
Delhi,2007,Theft - Property,4. Theft,5690,17037,64632107,951380888,10
Goa,2007,Theft - Property,4. Theft,160,484,7395072,38412511,11
Gujarat,2007,Theft - Property,4. Theft,5657,18047,176182189,633456546,12
Haryana,2007,Theft - Property,4. Theft,4489,11047,234719856,446296828,13
Himachal Pradesh,2007,Theft - Property,4. Theft,363,1077,32715520,80227548,14
Jammu & Kashmir,2007,Theft - Property,4. Theft,761,1756,34918058,63231699,15
Jharkhand,2007,Theft - Property,4. Theft,1125,7067,15471982,109486572,16
Karnataka,2007,Theft - Property,4. Theft,6278,14270,145811318,631663026,17
Kerala,2007,Theft - Property,4. Theft,2210,5317,83174955,336982688,18
Lakshadweep,2007,Theft - Property,4. Theft,3,20,66597,220223,19
Madhya Pradesh,2007,Theft - Property,4. Theft,7829,22396,218600442,504335083,20
Maharashtra,2007,Theft - Property,4. Theft,16072,47498,680817061,3077038673,21
Manipur,2007,Theft - Property,4. Theft,23,454,1113910,14425950,22
Meghalaya,2007,Theft - Property,4. Theft,168,500,5821491,18660858,23
Mizoram,2007,Theft - Property,4. Theft,598,732,19341965,36329079,24
Nagaland,2007,Theft - Property,4. Theft,86,358,10949690,29137746,25
Odisha,2007,Theft - Property,4. Theft,3305,6830,76603809,229446710,26
Puducherry,2007,Theft - Property,4. Theft,375,787,10598391,17727911,27
Punjab,2007,Theft - Property,4. Theft,2692,5171,135640879,358467769,28
Rajasthan,2007,Theft - Property,4. Theft,4962,18008,414485441,704131169,29
Sikkim,2007,Theft - Property,4. Theft,56,118,2781590,5712090,30
Tamil Nadu,2007,Theft - Property,4. Theft,12058,13217,301826905,334437435,31
Tripura,2007,Theft - Property,4. Theft,66,411,2312600,31447858,32
Uttar Pradesh,2007,Theft - Property,4. Theft,5704,19325,525229112,856433116,33
Uttarakhand,2007,Theft - Property,4. Theft,541,1500,22416183,64253489,34
West Bengal,2007,Theft - Property,4. Theft,2558,13747,58315409,484849575,35
Andaman & Nicobar Islands,2008,Theft - Property,4. Theft,63,128,2063545,5139030,1
Andhra Pradesh,2008,Theft - Property,4. Theft,13446,24324,397591848,721249352,2
Arunachal Pradesh,2008,Theft - Property,4. Theft,217,445,8810883,51707894,3
Assam,2008,Theft - Property,4. Theft,2458,8012,41888526,146063921,4
Bihar,2008,Theft - Property,4. Theft,2283,13206,29222449,273651851,5
Chandigarh,2008,Theft - Property,4. Theft,568,1991,27961646,86645921,6
Chhattisgarh,2008,Theft - Property,4. Theft,1979,6079,66780834,167950857,7
Dadra & Nagar Haveli,2008,Theft - Property,4. Theft,28,54,1349523,5567584,8
Daman & Diu,2008,Theft - Property,4. Theft,20,49,2487600,7041295,9
Delhi,2008,Theft - Property,4. Theft,3876,18867,62353044,1169650318,10
Goa,2008,Theft - Property,4. Theft,195,595,17312994,51331469,11
Gujarat,2008,Theft - Property,4. Theft,6145,20557,213420597,717642182,12
Haryana,2008,Theft - Property,4. Theft,4381,12709,233259510,477937454,13
Himachal Pradesh,2008,Theft - Property,4. Theft,468,1135,24133060,83332493,14
Jammu & Kashmir,2008,Theft - Property,4. Theft,694,2073,41599604,88290878,15
Jharkhand,2008,Theft - Property,4. Theft,1153,7269,20627716,132366997,16
Karnataka,2008,Theft - Property,4. Theft,5082,17728,341038583,754337080,17
Kerala,2008,Theft - Property,4. Theft,2348,5327,74419945,280186211,18
Lakshadweep,2008,Theft - Property,4. Theft,2,8,9000,74000,19
Madhya Pradesh,2008,Theft - Property,4. Theft,7995,24579,192107758,583021697,20
Maharashtra,2008,Theft - Property,4. Theft,17453,52664,740883362,3351235338,21
Manipur,2008,Theft - Property,4. Theft,22,446,1151250,38372099,22
Meghalaya,2008,Theft - Property,4. Theft,152,658,4309428,52154152,23
Mizoram,2008,Theft - Property,4. Theft,597,734,16373598,21862542,24
Nagaland,2008,Theft - Property,4. Theft,55,329,2632286,71238757,25
Odisha,2008,Theft - Property,4. Theft,3681,7132,75832586,224441584,26
Puducherry,2008,Theft - Property,4. Theft,300,688,8752684,18393372,27
Punjab,2008,Theft - Property,4. Theft,2956,5468,175809708,366697667,28
Rajasthan,2008,Theft - Property,4. Theft,5074,19014,425348611,701978100,29
Sikkim,2008,Theft - Property,4. Theft,59,127,3997660,6167240,30
Tamil Nadu,2008,Theft - Property,4. Theft,12950,15019,317483391,378069714,31
Tripura,2008,Theft - Property,4. Theft,210,499,2614810,19523259,32
Uttar Pradesh,2008,Theft - Property,4. Theft,6325,21370,642495682,988468154,33
Uttarakhand,2008,Theft - Property,4. Theft,529,1532,20803568,76043421,34
West Bengal,2008,Theft - Property,4. Theft,2716,17334,67780201,472055084,35
Andaman & Nicobar Islands,2009,Theft - Property,4. Theft,68,134,3623505,5124807,1
Andhra Pradesh,2009,Theft - Property,4. Theft,13133,23922,434869915,778827814,2
Arunachal Pradesh,2009,Theft - Property,4. Theft,176,381,5700050,31164607,3
Assam,2009,Theft - Property,4. Theft,2280,7644,95067594,346328773,4
Bihar,2009,Theft - Property,4. Theft,2235,15221,41223558,313111752,5
Chandigarh,2009,Theft - Property,4. Theft,495,1731,20914820,83782453,6
Chhattisgarh,2009,Theft - Property,4. Theft,1944,5792,90848076,209313629,7
Dadra & Nagar Haveli,2009,Theft - Property,4. Theft,22,63,1097808,7195540,8
Daman & Diu,2009,Theft - Property,4. Theft,10,41,210785,2257920,9
Delhi,2009,Theft - Property,4. Theft,4325,21731,120952757,1935299019,10
Goa,2009,Theft - Property,4. Theft,212,840,14103333,56510550,11
Gujarat,2009,Theft - Property,4. Theft,5664,19574,216620109,849896797,12
Haryana,2009,Theft - Property,4. Theft,4316,12912,203685733,482437909,13
Himachal Pradesh,2009,Theft - Property,4. Theft,354,820,29931601,80053807,14
Jammu & Kashmir,2009,Theft - Property,4. Theft,1078,2517,58148666,119533334,15
Jharkhand,2009,Theft - Property,4. Theft,1331,7716,28571580,153601534,16
Karnataka,2009,Theft - Property,4. Theft,5397,20576,426788217,830588124,17
Kerala,2009,Theft - Property,4. Theft,2507,5196,77566694,235023567,18
Lakshadweep,2009,Theft - Property,4. Theft,3,10,100000,277000,19
Madhya Pradesh,2009,Theft - Property,4. Theft,7473,23260,282210926,636398858,20
Maharashtra,2009,Theft - Property,4. Theft,16426,50708,715387912,3142694776,21
Manipur,2009,Theft - Property,4. Theft,16,394,1060700,21566576,22
Meghalaya,2009,Theft - Property,4. Theft,132,528,7593210,34881938,23
Mizoram,2009,Theft - Property,4. Theft,581,761,20116273,111682469,24
Nagaland,2009,Theft - Property,4. Theft,61,347,15458455,56028310,25
Odisha,2009,Theft - Property,4. Theft,2935,7115,128744945,316744878,26
Puducherry,2009,Theft - Property,4. Theft,418,711,11202455,16457917,27
Punjab,2009,Theft - Property,4. Theft,2669,5513,180844008,402385515,28
Rajasthan,2009,Theft - Property,4. Theft,2007,11817,525589147,978660944,29
Sikkim,2009,Theft - Property,4. Theft,31,62,1517500,2912500,30
Tamil Nadu,2009,Theft - Property,4. Theft,12899,15712,367486806,454248711,31
Tripura,2009,Theft - Property,4. Theft,117,415,3551330,28088921,32
Uttar Pradesh,2009,Theft - Property,4. Theft,5701,24983,252117209,736868327,33
Uttarakhand,2009,Theft - Property,4. Theft,590,1340,17919481,65840720,34
West Bengal,2009,Theft - Property,4. Theft,3168,17133,94165016,560520388,35
Andaman & Nicobar Islands,2010,Theft - Property,4. Theft,51,121,1012355,5115182,1
Andhra Pradesh,2010,Theft - Property,4. Theft,15080,26358,495913278,886949317,2
Arunachal Pradesh,2010,Theft - Property,4. Theft,162,445,14183400,39036632,3
Assam,2010,Theft - Property,4. Theft,1381,7860,76554211,285508811,4
Bihar,2010,Theft - Property,4. Theft,2242,15544,45833681,322648700,5
Chandigarh,2010,Theft - Property,4. Theft,468,1481,45899383,97718156,6
Chhattisgarh,2010,Theft - Property,4. Theft,1895,5805,76576521,215624738,7
Dadra & Nagar Haveli,2010,Theft - Property,4. Theft,20,63,1303700,6293660,8
Daman & Diu,2010,Theft - Property,4. Theft,19,47,3440585,6413312,9
Delhi,2010,Theft - Property,4. Theft,4509,23088,123172749,1598845599,10
Goa,2010,Theft - Property,4. Theft,313,1017,14117077,130811294,11
Gujarat,2010,Theft - Property,4. Theft,5105,16725,254323201,824549421,12
Haryana,2010,Theft - Property,4. Theft,4859,16266,235612864,587990593,13
Himachal Pradesh,2010,Theft - Property,4. Theft,377,837,42188916,97672155,14
Jammu & Kashmir,2010,Theft - Property,4. Theft,985,2490,78485237,143631373,15
Jharkhand,2010,Theft - Property,4. Theft,1379,7090,31022247,141140357,16
Karnataka,2010,Theft - Property,4. Theft,6480,20093,587641348,1469775629,17
Kerala,2010,Theft - Property,4. Theft,2110,4065,72925126,206828894,18
Lakshadweep,2010,Theft - Property,4. Theft,2,4,9000,18000,19
Madhya Pradesh,2010,Theft - Property,4. Theft,6682,21523,271839332,659776896,20
Maharashtra,2010,Theft - Property,4. Theft,16765,52363,958264429,3640776890,21
Manipur,2010,Theft - Property,4. Theft,30,417,1183700,30208364,22
Meghalaya,2010,Theft - Property,4. Theft,169,640,7235650,37310792,23
Mizoram,2010,Theft - Property,4. Theft,701,813,16293877,34672287,24
Nagaland,2010,Theft - Property,4. Theft,73,372,31153660,223472115,25
Odisha,2010,Theft - Property,4. Theft,3454,7572,220635148,663821864,26
Puducherry,2010,Theft - Property,4. Theft,266,534,11800800,18821640,27
Punjab,2010,Theft - Property,4. Theft,2801,5407,231391885,497975470,28
Rajasthan,2010,Theft - Property,4. Theft,4798,20981,588095593,988468024,29
Sikkim,2010,Theft - Property,4. Theft,22,53,1187000,2835372,30
Tamil Nadu,2010,Theft - Property,4. Theft,11584,14583,364514832,464409840,31
Tripura,2010,Theft - Property,4. Theft,86,410,2955025,11716542,32
Uttar Pradesh,2010,Theft - Property,4. Theft,5844,27487,258433654,768097095,33
Uttarakhand,2010,Theft - Property,4. Theft,721,1779,32129306,80909756,34
West Bengal,2010,Theft - Property,4. Theft,3515,19388,509046211,2654448736,35
Andaman & Nicobar Islands,2001,Total Property,7. Total Property Stolen & Recovered,54,143,1192179,3184477,1
Andhra Pradesh,2001,Total Property,7. Total Property Stolen & Recovered,13418,25070,186103403,476038316,2
Arunachal Pradesh,2001,Total Property,7. Total Property Stolen & Recovered,300,858,9652850,58483056,3
Assam,2001,Total Property,7. Total Property Stolen & Recovered,2149,9778,24989343,121602215,4
Bihar,2001,Total Property,7. Total Property Stolen & Recovered,3357,18503,47713186,422706220,5
Chandigarh,2001,Total Property,7. Total Property Stolen & Recovered,714,1948,21114612,49527109,6
Chhattisgarh,2001,Total Property,7. Total Property Stolen & Recovered,3298,9894,37331973,112242456,7
Dadra & Nagar Haveli,2001,Total Property,7. Total Property Stolen & Recovered,43,106,5314436,11604547,8
Daman & Diu,2001,Total Property,7. Total Property Stolen & Recovered,21,94,2323494,14151158,9
Delhi,2001,Total Property,7. Total Property Stolen & Recovered,5893,25170,218254594,2127553393,10
Goa,2001,Total Property,7. Total Property Stolen & Recovered,289,1004,9521526,239891783,11
Gujarat,2001,Total Property,7. Total Property Stolen & Recovered,7385,24410,227693256,1149816876,12
Haryana,2001,Total Property,7. Total Property Stolen & Recovered,5103,10536,257829983,404891438,13
Himachal Pradesh,2001,Total Property,7. Total Property Stolen & Recovered,367,1573,24625652,59011695,14
Jammu & Kashmir,2001,Total Property,7. Total Property Stolen & Recovered,833,3531,33575768,100502822,15
Jharkhand,2001,Total Property,7. Total Property Stolen & Recovered,1411,5764,14052425,126668437,16
Karnataka,2001,Total Property,7. Total Property Stolen & Recovered,6652,21039,218531303,583882867,17
Kerala,2001,Total Property,7. Total Property Stolen & Recovered,3320,10442,99493533,433136856,18
Lakshadweep,2001,Total Property,7. Total Property Stolen & Recovered,5,12,35400,109290,19
Madhya Pradesh,2001,Total Property,7. Total Property Stolen & Recovered,11779,37554,203882247,501301044,20
Maharashtra,2001,Total Property,7. Total Property Stolen & Recovered,20787,60173,856697065,4001169316,21
Manipur,2001,Total Property,7. Total Property Stolen & Recovered,47,455,3658556,31017310,22
Meghalaya,2001,Total Property,7. Total Property Stolen & Recovered,191,713,3662712,13868800,23
Mizoram,2001,Total Property,7. Total Property Stolen & Recovered,866,1516,10038622,18857452,24
Nagaland,2001,Total Property,7. Total Property Stolen & Recovered,120,463,6805838,81016077,25
Odisha,2001,Total Property,7. Total Property Stolen & Recovered,5068,10167,52527851,220741872,26
Puducherry,2001,Total Property,7. Total Property Stolen & Recovered,303,651,4421759,10439367,27
Punjab,2001,Total Property,7. Total Property Stolen & Recovered,3045,5950,225006524,465830826,28
Rajasthan,2001,Total Property,7. Total Property Stolen & Recovered,7854,25326,358218186,582726219,29
Sikkim,2001,Total Property,7. Total Property Stolen & Recovered,40,129,1158845,3351263,30
Tamil Nadu,2001,Total Property,7. Total Property Stolen & Recovered,17295,24606,333439558,735013778,31
Tripura,2001,Total Property,7. Total Property Stolen & Recovered,130,579,724170,13759600,32
Uttar Pradesh,2001,Total Property,7. Total Property Stolen & Recovered,9376,36711,846220887,1485857593,33
Uttarakhand,2001,Total Property,7. Total Property Stolen & Recovered,549,2346,15855404,84480844,34
West Bengal,2001,Total Property,7. Total Property Stolen & Recovered,4359,18204,111594745,427887883,35
Andaman & Nicobar Islands,2002,Total Property,7. Total Property Stolen & Recovered,37,110,666759,1842721,1
Andhra Pradesh,2002,Total Property,7. Total Property Stolen & Recovered,14067,28340,216606581,550010981,2
Arunachal Pradesh,2002,Total Property,7. Total Property Stolen & Recovered,295,819,14786088,39483510,3
Assam,2002,Total Property,7. Total Property Stolen & Recovered,2258,10269,29712976,139977748,4
Bihar,2002,Total Property,7. Total Property Stolen & Recovered,3217,19333,47271522,254239400,5
Chandigarh,2002,Total Property,7. Total Property Stolen & Recovered,604,2055,23029062,71383551,6
Chhattisgarh,2002,Total Property,7. Total Property Stolen & Recovered,3068,8687,40621866,173008693,7
Dadra & Nagar Haveli,2002,Total Property,7. Total Property Stolen & Recovered,69,132,6083651,14931390,8
Daman & Diu,2002,Total Property,7. Total Property Stolen & Recovered,44,130,5347636,16411977,9
Delhi,2002,Total Property,7. Total Property Stolen & Recovered,8250,22681,100376887,1968908241,10
Goa,2002,Total Property,7. Total Property Stolen & Recovered,220,951,9847158,70067569,11
Gujarat,2002,Total Property,7. Total Property Stolen & Recovered,7433,24958,199710393,5415280620,12
Haryana,2002,Total Property,7. Total Property Stolen & Recovered,5230,10266,277900567,426332721,13
Himachal Pradesh,2002,Total Property,7. Total Property Stolen & Recovered,372,1350,22929845,130545075,14
Jammu & Kashmir,2002,Total Property,7. Total Property Stolen & Recovered,1059,3637,35295212,102159196,15
Jharkhand,2002,Total Property,7. Total Property Stolen & Recovered,1743,7668,25211240,155701111,16
Karnataka,2002,Total Property,7. Total Property Stolen & Recovered,7397,22219,264284974,638855643,17
Kerala,2002,Total Property,7. Total Property Stolen & Recovered,3386,11246,117814390,631615977,18
Lakshadweep,2002,Total Property,7. Total Property Stolen & Recovered,7,21,85295,209735,19
Madhya Pradesh,2002,Total Property,7. Total Property Stolen & Recovered,13122,37451,226088417,576014559,20
Maharashtra,2002,Total Property,7. Total Property Stolen & Recovered,19944,57544,1300723470,9816576492,21
Manipur,2002,Total Property,7. Total Property Stolen & Recovered,28,429,1814255,23206932,22
Meghalaya,2002,Total Property,7. Total Property Stolen & Recovered,158,758,5095486,17988692,23
Mizoram,2002,Total Property,7. Total Property Stolen & Recovered,961,1499,9221035,32811874,24
Nagaland,2002,Total Property,7. Total Property Stolen & Recovered,216,529,5752775,27644441,25
Odisha,2002,Total Property,7. Total Property Stolen & Recovered,4014,9287,76089944,212601484,26
Puducherry,2002,Total Property,7. Total Property Stolen & Recovered,255,675,4897427,13995944,27
Punjab,2002,Total Property,7. Total Property Stolen & Recovered,3498,6038,330784701,563501865,28
Rajasthan,2002,Total Property,7. Total Property Stolen & Recovered,6745,22730,338610258,570166500,29
Sikkim,2002,Total Property,7. Total Property Stolen & Recovered,29,118,398485,836030,30
Tamil Nadu,2002,Total Property,7. Total Property Stolen & Recovered,19263,25825,391752230,695528915,31
Tripura,2002,Total Property,7. Total Property Stolen & Recovered,123,619,1443478,30801738,32
Uttar Pradesh,2002,Total Property,7. Total Property Stolen & Recovered,8642,27826,486575305,782197250,33
Uttarakhand,2002,Total Property,7. Total Property Stolen & Recovered,623,1939,16294408,51953575,34
West Bengal,2002,Total Property,7. Total Property Stolen & Recovered,4274,19012,141080560,455513698,35
Andaman & Nicobar Islands,2003,Total Property,7. Total Property Stolen & Recovered,40,128,1001787,3183650,1
Andhra Pradesh,2003,Total Property,7. Total Property Stolen & Recovered,14975,33315,268491192,660684437,2
Arunachal Pradesh,2003,Total Property,7. Total Property Stolen & Recovered,265,776,17151100,44089224,3
Assam,2003,Total Property,7. Total Property Stolen & Recovered,2272,10298,51941294,182583864,4
Bihar,2003,Total Property,7. Total Property Stolen & Recovered,2976,19211,41222925,275325321,5
Chandigarh,2003,Total Property,7. Total Property Stolen & Recovered,775,1578,27951461,63722359,6
Chhattisgarh,2003,Total Property,7. Total Property Stolen & Recovered,2757,8592,42417804,146930510,7
Dadra & Nagar Haveli,2003,Total Property,7. Total Property Stolen & Recovered,58,132,6909142,74116906,8
Daman & Diu,2003,Total Property,7. Total Property Stolen & Recovered,32,107,7758679,18174225,9
Delhi,2003,Total Property,7. Total Property Stolen & Recovered,7847,20953,76625398,1938163132,10
Goa,2003,Total Property,7. Total Property Stolen & Recovered,325,847,8566930,275404206,11
Gujarat,2003,Total Property,7. Total Property Stolen & Recovered,8716,29407,308623233,3241929941,12
Haryana,2003,Total Property,7. Total Property Stolen & Recovered,5541,10024,335546082,491144301,13
Himachal Pradesh,2003,Total Property,7. Total Property Stolen & Recovered,406,1392,26443221,71797484,14
Jammu & Kashmir,2003,Total Property,7. Total Property Stolen & Recovered,1143,3768,57110184,130153108,15
Jharkhand,2003,Total Property,7. Total Property Stolen & Recovered,1827,7211,29646414,144100978,16
Karnataka,2003,Total Property,7. Total Property Stolen & Recovered,6708,22463,218541891,700067515,17
Kerala,2003,Total Property,7. Total Property Stolen & Recovered,3349,9843,125595872,570632818,18
Lakshadweep,2003,Total Property,7. Total Property Stolen & Recovered,3,14,96650,178650,19
Madhya Pradesh,2003,Total Property,7. Total Property Stolen & Recovered,12178,35947,235335412,600151731,20
Maharashtra,2003,Total Property,7. Total Property Stolen & Recovered,20159,57118,749453074,3874559515,21
Manipur,2003,Total Property,7. Total Property Stolen & Recovered,29,423,2323464,17190467,22
Meghalaya,2003,Total Property,7. Total Property Stolen & Recovered,103,728,2537849,268521456,23
Mizoram,2003,Total Property,7. Total Property Stolen & Recovered,1348,2063,11824395,18953062,24
Nagaland,2003,Total Property,7. Total Property Stolen & Recovered,163,437,4032287,9666617,25
Odisha,2003,Total Property,7. Total Property Stolen & Recovered,4607,9462,73064104,187440215,26
Puducherry,2003,Total Property,7. Total Property Stolen & Recovered,288,720,5686424,20367570,27
Punjab,2003,Total Property,7. Total Property Stolen & Recovered,3895,6806,392322250,727447197,28
Rajasthan,2003,Total Property,7. Total Property Stolen & Recovered,6845,23652,319666328,617440643,29
Sikkim,2003,Total Property,7. Total Property Stolen & Recovered,30,127,1270754,8579505,30
Tamil Nadu,2003,Total Property,7. Total Property Stolen & Recovered,18758,24082,368499696,539833082,31
Tripura,2003,Total Property,7. Total Property Stolen & Recovered,108,576,2965911,14532819,32
Uttar Pradesh,2003,Total Property,7. Total Property Stolen & Recovered,6363,18012,506787481,805220837,33
Uttarakhand,2003,Total Property,7. Total Property Stolen & Recovered,672,1948,16482052,51537513,34
West Bengal,2003,Total Property,7. Total Property Stolen & Recovered,4340,15618,132050530,556555474,35
Andaman & Nicobar Islands,2004,Total Property,7. Total Property Stolen & Recovered,95,175,3070433,5083318,1
Andhra Pradesh,2004,Total Property,7. Total Property Stolen & Recovered,15744,32463,282645926,776046128,2
Arunachal Pradesh,2004,Total Property,7. Total Property Stolen & Recovered,182,730,6137283,27988747,3
Assam,2004,Total Property,7. Total Property Stolen & Recovered,2264,10575,34821706,205124349,4
Bihar,2004,Total Property,7. Total Property Stolen & Recovered,3228,21673,60787255,382437886,5
Chandigarh,2004,Total Property,7. Total Property Stolen & Recovered,849,1775,36215872,75067586,6
Chhattisgarh,2004,Total Property,7. Total Property Stolen & Recovered,3383,10548,67401154,202799512,7
Dadra & Nagar Haveli,2004,Total Property,7. Total Property Stolen & Recovered,50,112,7241446,618751642,8
Daman & Diu,2004,Total Property,7. Total Property Stolen & Recovered,22,72,803600,4972825,9
Delhi,2004,Total Property,7. Total Property Stolen & Recovered,9593,24902,115582547,2294356956,10
Goa,2004,Total Property,7. Total Property Stolen & Recovered,312,846,9454256,95000374,11
Gujarat,2004,Total Property,7. Total Property Stolen & Recovered,8292,28241,288923468,6575355355,12
Haryana,2004,Total Property,7. Total Property Stolen & Recovered,5474,10821,286452866,462879255,13
Himachal Pradesh,2004,Total Property,7. Total Property Stolen & Recovered,481,1541,19122864,86940050,14
Jammu & Kashmir,2004,Total Property,7. Total Property Stolen & Recovered,1039,3621,47110376,111024669,15
Jharkhand,2004,Total Property,7. Total Property Stolen & Recovered,1743,7668,25211240,155701111,16
Karnataka,2004,Total Property,7. Total Property Stolen & Recovered,7106,24265,303383721,812326481,17
Kerala,2004,Total Property,7. Total Property Stolen & Recovered,3824,10598,118246729,467846875,18
